,State,District,Latitude,Longitude,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Cluster
0,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2001,50,30,16,149,34,175,0,1
1,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2002,37,32,20,174,63,240,0,1
2,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2003,35,16,11,141,39,238,0,1
3,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2004,50,42,14,135,71,296,0,1
4,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2005,53,46,21,144,77,280,0,1
5,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2006,64,71,22,185,107,423,0,4
6,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2007,46,72,21,156,133,335,0,4
7,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2008,50,26,5,174,103,355,0,1
8,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2009,67,56,13,192,163,428,0,4
9,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2010,48,48,18,133,155,429,0,4
10,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2011,84,70,20,112,142,429,0,4
11,ANDHRA PRADESH,ADILABAD,19.284513950073435,78.81321233480176,2012,88,61,7,90,155,498,0,4
12,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2001,23,30,7,118,24,154,0,1
13,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2002,28,49,9,179,37,151,0,1
14,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2003,19,45,4,224,45,146,0,1
15,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2004,20,31,11,196,50,147,0,1
16,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2005,16,30,12,173,57,137,0,1
17,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2006,16,32,16,187,11,189,0,1
18,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2007,31,35,14,176,194,0,0,4
19,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2008,37,36,12,133,132,0,0,1
20,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2009,22,60,14,157,13,143,0,1
21,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2010,20,60,20,132,35,250,0,1
22,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2011,16,83,36,156,16,198,0,3
23,ANDHRA PRADESH,ANANTAPUR,14.312065561843148,77.4601584478577,2012,18,63,19,195,8,130,0,1
24,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2001,27,34,14,112,83,186,0,1
25,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2002,28,39,16,126,40,188,0,1
26,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2003,36,34,23,121,173,60,0,4
27,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2004,28,27,22,116,197,234,0,4
28,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2005,35,58,9,91,223,202,0,4
29,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2006,31,37,18,123,190,249,0,4
30,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2007,31,47,25,118,197,395,0,4
31,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2008,30,57,26,104,250,288,0,4
32,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2009,33,46,19,120,268,333,0,4
33,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2010,44,56,32,136,121,388,0,4
34,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2011,17,47,25,124,168,421,0,4
35,ANDHRA PRADESH,CHITTOOR,13.33109263067696,78.92763898886037,2012,28,49,33,90,269,339,0,4
36,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2001,20,20,17,126,38,57,0,0
37,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2002,16,22,21,100,36,63,0,0
38,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2003,10,28,5,104,31,60,0,0
39,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2004,14,31,7,118,49,120,0,0
40,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2005,21,31,7,116,18,95,0,0
41,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2006,25,51,10,130,84,199,0,1
42,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2007,32,68,8,139,94,242,0,1
43,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2008,27,64,11,212,37,267,0,1
44,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2009,27,47,17,165,52,124,0,1
45,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2010,39,51,15,137,45,321,0,1
46,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2011,41,65,15,144,17,122,0,1
47,ANDHRA PRADESH,CUDDAPAH,14.490289134125629,78.69613870967754,2012,26,44,13,217,37,120,0,1
48,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2001,23,26,12,109,58,247,0,1
49,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2002,25,5,11,108,73,276,0,1
50,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2003,18,35,11,150,110,357,0,4
51,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2004,31,23,13,112,105,293,0,1
52,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2005,27,3,15,102,119,368,0,1
53,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2006,41,28,25,173,107,465,0,4
54,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2007,30,64,19,159,131,561,0,4
55,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2008,48,13,23,194,131,563,0,4
56,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2009,47,60,23,196,178,440,0,4
57,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2010,66,30,20,193,188,246,0,4
58,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2011,72,51,17,176,224,575,0,4
59,ANDHRA PRADESH,EAST GODAVARI,16.782718320784902,82.2432074720511,2012,71,40,17,248,160,536,0,4
60,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2001,54,51,7,139,129,378,0,4
61,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2002,46,71,13,186,85,434,0,1
62,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2003,46,77,22,228,99,399,0,4
63,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2004,46,60,32,186,104,397,0,4
64,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2005,55,56,16,166,203,366,0,4
65,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2006,47,35,15,281,236,427,0,4
66,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2007,43,79,28,292,214,569,0,4
67,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2008,48,65,26,306,99,496,0,4
68,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2009,40,62,26,340,451,720,0,4
69,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2010,38,39,20,282,409,456,0,4
70,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2011,40,57,8,223,140,494,0,4
71,ANDHRA PRADESH,GUNTUR,15.884925767634847,80.58657614107885,2012,23,53,21,252,83,656,0,4
72,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2001,56,49,62,414,81,224,0,4
73,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2002,99,42,45,357,125,209,0,4
74,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2003,88,67,53,362,132,602,1,4
75,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2004,85,98,61,370,155,717,0,4
76,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2005,84,91,52,328,143,839,0,4
77,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2006,73,119,47,371,195,698,0,4
78,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2007,73,135,61,315,278,687,0,4
79,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2008,84,148,48,310,273,596,0,4
80,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2009,48,106,40,292,234,635,0,4
81,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2010,65,128,39,237,241,636,0,4
82,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2011,58,120,40,253,235,702,0,4
83,ANDHRA PRADESH,KARIMNAGAR,18.515483193277312,79.43765428571413,2012,40,98,46,224,232,759,0,4
84,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2001,47,30,17,180,336,172,0,4
85,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2002,48,55,13,191,375,324,0,4
86,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2003,45,35,17,162,246,180,0,4
87,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2004,43,46,18,176,310,400,0,4
88,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2005,21,40,14,150,240,313,0,4
89,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2006,44,58,17,171,129,327,0,4
90,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2007,81,73,28,176,272,422,0,4
91,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2008,70,83,26,213,24,329,0,1
92,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2009,98,96,18,205,152,519,0,4
93,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2010,62,66,17,147,129,354,0,4
94,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2011,84,73,20,243,140,519,0,4
95,ANDHRA PRADESH,KHAMMAM,17.683921325051784,80.67008643892335,2012,78,62,13,233,172,231,0,4
96,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2001,37,21,10,208,72,265,0,1
97,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2002,41,21,14,211,110,374,0,4
98,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2003,45,16,20,186,107,317,0,1
99,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2004,33,13,13,182,108,362,0,1
100,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2005,27,26,11,209,104,337,0,1
101,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2006,36,38,9,168,74,296,0,1
102,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2007,27,47,13,161,150,348,0,4
103,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2008,38,52,12,254,93,379,0,1
104,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2009,43,35,14,297,130,402,0,4
105,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2010,54,67,22,300,149,412,0,4
106,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2011,80,75,15,348,292,733,0,4
107,ANDHRA PRADESH,KRISHNA,16.143872753151673,81.14805061000413,2012,67,55,16,341,309,791,0,4
108,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2001,29,47,13,141,107,92,0,1
109,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2002,45,24,11,166,115,167,0,1
110,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2003,28,16,11,231,131,202,0,4
111,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2004,29,32,6,242,157,230,0,4
112,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2005,29,30,9,221,124,233,0,4
113,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2006,35,70,9,341,157,157,0,4
114,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2007,36,64,7,327,219,364,0,4
115,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2008,47,72,17,419,232,227,0,4
116,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2009,31,73,17,398,365,239,0,4
117,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2010,49,67,19,347,268,501,0,4
118,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2011,39,58,20,340,222,424,0,4
119,ANDHRA PRADESH,KURNOOL,15.43759715142429,77.90086836581717,2012,22,46,15,331,75,166,0,1
120,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2001,35,20,26,100,25,192,0,1
121,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2002,68,38,25,103,28,251,0,1
122,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2003,30,37,44,128,37,174,0,3
123,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2004,52,32,41,86,54,229,0,3
124,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2005,36,27,28,88,35,209,0,1
125,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2006,57,39,33,107,59,276,0,1
126,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2007,51,56,49,115,96,346,0,3
127,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2008,50,44,35,114,61,332,0,1
128,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2009,46,51,27,118,58,368,0,1
129,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2010,49,68,29,103,95,316,0,1
130,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2011,38,33,26,121,50,384,0,1
131,ANDHRA PRADESH,MEDAK,17.889304978038055,78.13778901903379,2012,26,45,20,112,55,475,0,1
132,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2001,35,19,31,188,59,214,0,1
133,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2002,41,37,37,232,67,210,0,1
134,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2003,62,37,33,249,51,319,0,1
135,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2004,46,57,34,200,66,272,0,1
136,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2005,49,31,30,223,95,344,0,1
137,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2006,61,71,40,246,126,395,0,4
138,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2007,69,75,36,233,112,429,0,4
139,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2008,90,76,32,243,155,353,0,4
140,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2009,77,75,41,254,205,364,0,4
141,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2010,68,81,32,195,192,218,0,4
142,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2011,48,51,36,229,150,255,0,4
143,ANDHRA PRADESH,NALGONDA,17.113250515463907,79.16984453608244,2012,52,79,20,246,264,302,0,4
144,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2001,46,80,10,207,228,287,0,4
145,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2002,46,54,10,206,226,289,0,4
146,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2003,27,58,10,204,97,231,0,1
147,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2004,107,55,11,173,88,142,0,1
148,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2005,33,65,11,205,84,166,0,1
149,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2006,35,49,10,192,137,294,0,4
150,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2007,44,65,14,203,123,331,0,4
151,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2008,39,73,6,184,130,333,0,4
152,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2009,32,48,3,287,128,305,0,4
153,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2010,28,74,6,176,119,382,0,4
154,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2011,28,81,7,166,119,187,0,4
155,ANDHRA PRADESH,NELLORE,13.894344071421887,80.14702671812498,2012,23,72,9,210,142,405,0,4
156,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2001,21,21,19,55,15,228,0,0
157,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2002,35,21,17,71,24,278,0,1
158,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2003,29,7,11,61,32,329,3,0
159,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2004,24,19,17,74,46,339,0,1
160,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2005,26,32,16,88,41,410,0,1
161,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2006,36,46,18,115,64,431,0,1
162,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2007,23,48,25,88,59,455,0,1
163,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2008,31,25,16,70,85,305,0,1
164,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2009,27,41,19,79,75,518,0,1
165,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2010,62,50,21,114,75,626,0,1
166,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2011,63,51,27,98,100,569,0,4
167,ANDHRA PRADESH,NIZAMABAD,18.429485849056604,78.07523490566035,2012,35,23,19,100,102,596,0,4
168,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2001,8,12,6,38,47,108,0,0
169,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2002,14,9,4,60,16,114,0,0
170,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2003,9,4,7,58,44,147,0,0
171,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2004,15,13,14,58,11,165,0,0
172,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2005,15,16,9,51,40,137,0,0
173,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2006,27,21,3,70,25,188,0,0
174,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2007,30,19,12,99,57,345,0,1
175,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2008,32,14,6,92,72,314,0,1
176,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2009,21,20,6,67,44,211,0,0
177,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2010,35,31,5,93,92,233,0,1
178,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2011,29,23,8,91,83,333,0,1
179,ANDHRA PRADESH,SRIKAKULAM,18.570900998697432,84.25874814010675,2012,39,18,3,116,69,312,0,1
180,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2001,8,2,0,40,22,121,0,0
181,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2002,12,0,1,38,25,190,0,0
182,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2003,6,0,4,34,25,127,0,0
183,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2004,14,7,6,53,26,155,0,0
184,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2005,12,9,7,41,28,186,0,0
185,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2006,16,16,5,69,22,171,0,0
186,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2007,10,20,3,90,46,270,0,0
187,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2008,6,14,3,88,60,253,0,0
188,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2009,13,12,8,103,105,297,0,1
189,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2010,32,15,14,101,85,312,0,1
190,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2011,50,20,5,79,99,384,0,1
191,ANDHRA PRADESH,VIZIANAGARAM,18.28329696032972,83.45982854198873,2012,44,20,3,96,103,363,0,1
192,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2001,53,25,52,241,0,165,0,1
193,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2002,52,58,45,212,0,157,0,1
194,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2003,61,69,35,222,0,162,0,1
195,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2004,53,88,43,228,0,162,0,1
196,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2005,34,64,29,226,50,332,0,1
197,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2006,50,78,40,230,56,480,0,1
198,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2007,57,109,56,279,50,608,0,4
199,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2008,59,62,36,223,54,519,0,1
200,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2009,70,130,49,234,25,432,0,1
201,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2010,28,39,7,98,10,50,0,0
202,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2011,48,62,26,157,27,89,0,1
203,ANDHRA PRADESH,WARANGAL,18.01752608695651,79.87422028985509,2012,56,58,20,117,34,101,0,1
204,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2001,61,21,15,246,56,348,0,1
205,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2002,54,32,12,223,73,447,0,1
206,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2003,107,65,21,382,121,584,0,4
207,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2004,81,43,17,301,104,518,0,4
208,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2005,69,35,17,232,118,410,0,4
209,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2006,53,50,23,354,117,4,0,4
210,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2007,52,80,22,309,155,573,0,4
211,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2008,117,70,25,368,182,696,0,4
212,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2009,114,89,14,384,196,729,0,4
213,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2010,127,122,26,400,231,732,0,4
214,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2011,97,90,27,364,238,760,0,4
215,ANDHRA PRADESH,WEST GODAVARI,16.63297943925236,81.45912990654196,2012,130,59,19,296,235,757,0,4
216,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2001,1,2,0,3,0,0,0,0
217,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2002,3,2,0,0,0,2,0,0
218,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2003,4,7,0,0,0,2,0,0
219,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2004,9,5,0,1,0,1,0,0
220,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2005,2,5,0,1,0,1,0,0
221,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2006,4,4,0,0,0,2,0,0
222,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2007,7,2,0,5,0,4,0,0
223,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2008,2,4,0,5,0,0,0,0
224,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2009,8,6,0,3,0,4,0,0
225,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2010,4,4,0,10,0,1,0,0
226,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2011,3,7,0,3,0,2,0,0
227,ARUNACHAL PRADESH,CHANGLANG,27.36048479338845,96.37552644628106,2012,6,7,1,5,0,4,0,0
228,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2001,2,6,0,8,0,0,0,0
229,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2002,3,3,0,8,0,0,0,0
230,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2003,1,14,0,5,0,1,0,0
231,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2004,5,5,0,8,0,0,0,0
232,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2005,3,4,0,7,0,1,0,0
233,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2006,3,8,0,3,0,1,0,0
234,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2007,5,12,0,4,0,0,0,0
235,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2008,3,1,0,1,0,0,0,0
236,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2009,8,2,0,5,0,0,0,0
237,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2010,9,3,0,7,0,0,0,0
238,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2011,5,4,0,2,0,0,0,0
239,ARUNACHAL PRADESH,LOHIT,27.946785273972623,96.59670770547945,2012,3,5,0,11,0,2,0,0
240,ARUNACHAL PRADESH,PAPUM PARE,27.273529716981127,93.54468183962264,2001,9,5,0,6,0,3,0,0
241,ARUNACHAL PRADESH,PAPUM PARE,27.273529716981127,93.54468183962264,2002,3,6,0,9,1,1,0,0
